City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Hithadhoo,MV,-0.6,73.0833,81.41,78,100,18.1,moderate rain
81,Khanpur,PK,28.6453,70.6567,63.27,14,0,8.61,clear sky
82,Floro,NO,61.5996,5.0328,42.96,100,90,5.75,overcast clouds
83,New Norfolk,AU,-42.7826,147.0587,75.65,32,100,2.62,overcast clouds
84,Santa Marta,CO,11.2408,-74.199,79.16,84,100,11.5,overcast clouds
85,Port Alfred,ZA,-33.5906,26.891,65.52,84,100,22.44,light rain
86,Umea,SE,63.8284,20.2597,22.93,93,40,11.5,scattered clouds
87,Bredasdorp,ZA,-34.5322,20.0403,53.28,76,44,6.33,scattered clouds
88,Savelugu,GH,9.6244,-0.8253,79.41,23,4,0.76,clear sky
89,Fortuna,US,40.5982,-124.1573,51.98,70,1,0.0,clear sky
90,Kemin,KG,42.7846,75.6892,34.57,57,9,7.09,clear sky
91,Bereda,ES,43.2686,-7.5406,49.01,100,88,9.86,overcast clouds
92,Port Elizabeth,ZA,-33.918,25.5701,62.1,83,100,18.81,overcast clouds
93,Daura,NG,11.5538,11.4085,73.45,24,10,7.29,clear sky
94,Veraval,IN,20.9,70.3667,78.94,79,100,6.53,overcast clouds
95,Roald,NO,62.5833,6.1333,43.09,93,75,16.11,broken clouds
96,Lincoln,US,40.8,-96.667,41.9,62,9,1.99,clear sky
97,Rio Tercero,AR,-32.173,-64.1141,73.8,37,16,6.26,few clouds
98,Yar-Sale,RU,66.8333,70.8333,14.99,96,100,6.31,light snow
99,Acapulco,MX,16.8634,-99.8901,78.98,82,0,5.3,clear sky
100,Dikson,RU,73.5069,80.5464,-11.54,94,100,17.74,overcast clouds
101,Vicksburg,US,32.3526,-90.8779,48.56,87,1,0.0,clear sky
102,Saint-Philippe,RE,-21.3585,55.7679,72.95,75,24,8.39,few clouds
103,Neiafu,TO,-18.65,-173.9833,80.53,72,44,10.2,scattered clouds
104,Hede,CN,33.7681,120.2517,41.58,28,0,8.61,clear sky
105,Ossora,RU,59.2353,163.0719,22.23,95,100,15.46,snow
106,Tongren,CN,27.7172,109.1853,50.97,55,88,1.72,overcast clouds
107,Khatanga,RU,71.9667,102.5,-3.62,79,97,22.19,overcast clouds
108,Kuznechnoye,RU,61.12,29.8686,25.68,72,100,5.12,overcast clouds
109,Isangel,VU,-19.55,169.2667,86.11,74,75,9.22,broken clouds
110,Rocha,UY,-34.4833,-54.3333,62.64,69,9,17.78,clear sky
111,Turukhansk,RU,65.8167,87.9833,13.8,92,100,20.54,light snow
112,Chai Badan,TH,15.2,101.1333,80.89,74,86,17.56,overcast clouds
113,Provideniya,RU,64.3833,-173.3,10.51,61,40,17.9,scattered clouds
114,San Luis,AR,-33.295,-66.3356,72.46,28,0,16.96,clear sky
115,Saint-Georges,GD,12.0564,-61.7485,78.96,82,91,9.84,overcast clouds
116,Batagay-Alyta,RU,67.8006,130.4114,-26.45,98,30,3.71,scattered clouds
117,Terney,RU,45.0503,136.6092,21.76,70,98,16.35,overcast clouds
118,Qaqortoq,GL,60.7167,-46.0333,23.5,84,4,3.78,clear sky
119,Bangsund,NO,64.3968,11.3949,42.91,95,100,10.6,light rain
120,Tiksi,RU,71.6872,128.8694,-22.18,97,53,7.92,broken clouds
121,Udalguri,IN,26.7667,92.1333,64.72,71,91,5.79,overcast clouds
122,Norman Wells,CA,65.282,-126.8329,-18.36,69,75,5.75,light snow
123,Tasiilaq,GL,65.6145,-37.6368,14.58,60,94,9.15,overcast clouds
124,Flinders,AU,-34.5833,150.8552,74.17,70,100,4.0,overcast clouds
125,Saint George,US,37.1041,-113.5841,55.99,30,1,4.61,clear sky
126,Hamilton,US,39.1834,-84.5333,32.36,67,0,5.75,clear sky
127,Esqueda,MX,30.7167,-109.5833,58.46,34,100,4.52,overcast clouds
128,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,56.5,67,94,3.98,overcast clouds
129,Hobyo,SO,5.3505,48.5268,78.57,72,75,8.63,broken clouds
130,Awjilah,LY,29.1081,21.2869,61.66,48,100,9.35,overcast clouds
131,Whitehorse,CA,60.7161,-135.0538,5.77,77,90,1.99,light snow
132,Port Blair,IN,11.6667,92.75,82.94,78,59,8.79,light rain
133,Puerto Ayora,EC,-0.7393,-90.3518,68.38,75,35,8.34,scattered clouds
134,Sitka,US,57.0531,-135.33,37.29,81,90,6.91,moderate rain
135,Nelson Bay,AU,-32.7167,152.15,73.76,89,97,3.0,overcast clouds
136,Tayga,RU,56.06,85.6197,29.34,86,100,14.61,overcast clouds
137,Nanortalik,GL,60.1432,-45.2371,21.99,76,5,15.73,clear sky
138,Carnarvon,AU,-24.8667,113.6333,77.07,38,0,16.11,clear sky
139,Ponta Do Sol,PT,32.6667,-17.1,67.71,71,98,6.51,overcast clouds
140,Longyearbyen,SJ,78.2186,15.6401,3.04,72,20,10.36,few clouds
141,Luanshya,ZM,-13.1367,28.4166,50.56,95,81,1.88,light rain
142,Bodaybo,RU,57.8506,114.1933,-15.05,94,20,1.72,few clouds
143,Elektrogorsk,RU,55.8794,38.7919,22.75,94,18,5.61,few clouds
144,Ahipara,NZ,-35.1667,173.1667,68.29,64,16,11.72,few clouds
145,Sala Consilina,IT,40.3912,15.5989,51.3,84,63,2.3,broken clouds
146,Vila Velha,BR,-20.3297,-40.2925,69.94,88,89,1.01,overcast clouds
147,Buraydah,SA,26.326,43.975,57.63,75,3,8.84,clear sky
148,Evensk,RU,61.95,159.2333,11.28,83,98,9.84,overcast clouds
149,Yarada,IN,17.65,83.2667,77.32,100,75,2.3,mist
150,Airai,TL,-8.9266,125.4092,75.56,55,92,1.39,overcast clouds
151,Grand Gaube,MU,-20.0064,57.6608,73.38,72,0,10.0,clear sky
152,Wembley,AU,-31.9333,115.8,71.06,52,20,4.61,few clouds
153,Nikolskoye,RU,59.7035,30.7861,26.8,94,100,5.01,overcast clouds
154,Sinnamary,GF,5.3833,-52.95,78.13,87,67,7.83,broken clouds
155,Cheyenne,US,41.14,-104.8203,48.52,33,75,9.22,broken clouds
156,Neryungri,RU,56.6709,124.6491,-11.43,87,100,6.31,overcast clouds
157,Norsup,VU,-16.0667,167.3833,85.03,70,99,7.14,overcast clouds
158,Nouadhibou,MR,20.931,-17.0347,70.18,76,1,11.86,clear sky
159,Redmond,US,47.674,-122.1215,47.77,90,100,3.0,overcast clouds
160,Yeppoon,AU,-23.1333,150.7333,78.58,69,45,13.2,scattered clouds
161,Padang,ID,-0.9492,100.3543,82.45,70,100,0.67,overcast clouds
162,Taltal,CL,-25.4,-70.4833,59.99,83,83,2.04,broken clouds
163,Garoua,CM,9.3,13.4,76.32,29,4,3.42,clear sky
164,Bilibino,RU,68.0546,166.4372,-21.42,92,4,3.74,clear sky
