City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Quirinopolis,BR,76.19,overcast clouds,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
475,Kendari,ID,87.57,clear sky,-3.945,122.4989,Hotel Wixel
485,Sao Filipe,CV,80.98,clear sky,14.8961,-24.4956,Hotel Xaguate
487,Mozarlandia,BR,76.91,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
499,Salinopolis,BR,79.77,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
503,Lodwar,KE,79.16,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
527,Ramon Castilla,PE,75.45,scattered clouds,-4.2569,-69.9594,Cabañas La Manigua
534,Careiro Da Varzea,BR,77.61,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
545,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
564,Samarai,PG,85.71,few clouds,-10.6167,150.6667,Nuli Sapi
565,Aquiraz,BR,82.49,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
581,Geraldton,AU,75.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
592,Velasco Ibarra,EC,76.95,overcast clouds,-1.05,-79.6167,White Room Studio
601,Omboue,GA,77.14,light rain,-1.5746,9.2618,Hotel Olako
626,Alyangula,AU,86.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
636,Dingle,PH,84.7,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
656,Kloulklubed,PW,88.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
661,The Valley,AI,80.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
672,Singaparna,ID,80.47,broken clouds,-7.3515,108.111,Wisma Dewi Hotel
